equipment_id,timestamp,speed,fuel_level,idle_hours,engine_hours,excessive_speed,rapid_fuel_drop,excessive_idle,anomaly_score,is_anomaly
CAT-EQ-1001,2026-08-19T13:47:16Z,0.0,93.3,50.3,957.5,0,0,0,0.378,0
CAT-EQ-1001,2026-08-19T14:47:16Z,0.0,91.3,50.5,957.5,0,0,0,0.308,0
CAT-EQ-1001,2026-08-19T15:47:16Z,0.0,90.4,50.7,957.5,0,0,0,0.231,0
CAT-EQ-1001,2026-08-19T16:47:16Z,0.0,89.6,50.9,957.5,0,0,0,0.166,0
CAT-EQ-1001,2026-08-19T17:47:16Z,0.0,87.9,51.1,957.5,0,0,0,0.429,0
CAT-EQ-1001,2026-08-19T18:47:16Z,0.0,86.6,51.3,957.5,0,0,0,0.243,0
CAT-EQ-1001,2026-08-19T19:47:16Z,0.0,85.4,51.5,957.5,0,0,0,0.253,0
CAT-EQ-1001,2026-08-19T20:47:16Z,11.4,84.0,51.5,958.3,0,0,0,0.344,0
CAT-EQ-1001,2026-08-19T21:47:16Z,21.3,83.1,51.5,959.1,0,0,0,0.321,0
CAT-EQ-1001,2026-08-19T22:47:16Z,21.9,82.2,51.5,959.9,0,0,0,0.189,0
CAT-EQ-1001,2026-08-19T23:47:16Z,20.1,81.7,51.5,960.7,0,0,0,0.421,0
CAT-EQ-1001,2026-08-20T00:47:16Z,14.9,80.3,51.5,961.5,0,0,0,0.39,0
CAT-EQ-1001,2026-08-20T01:47:16Z,11.3,78.7,51.5,962.3,0,0,0,0.244,0
CAT-EQ-1001,2026-08-20T02:47:16Z,26.9,77.1,51.5,963.1,0,0,0,0.15,0
CAT-EQ-1001,2026-08-20T03:47:16Z,23.7,76.1,51.5,963.9,0,0,0,0.101,0
CAT-EQ-1001,2026-08-20T04:47:16Z,6.7,74.4,51.5,964.7,0,0,0,0.231,0
CAT-EQ-1001,2026-08-20T05:47:16Z,22.6,72.3,51.5,965.5,0,0,0,0.165,0
CAT-EQ-1001,2026-08-20T06:47:16Z,6.5,71.4,51.5,966.3,0,0,0,0.319,0
CAT-EQ-1001,2026-08-20T07:47:16Z,20.6,70.4,51.5,967.1,0,0,0,0.22,0
CAT-EQ-1001,2026-08-20T08:47:16Z,0.0,68.8,51.7,967.1,0,0,0,0.363,0
CAT-EQ-1001,2026-08-20T09:47:16Z,0.0,66.6,51.9,967.1,0,0,0,0.103,0
CAT-EQ-1001,2026-08-20T10:47:16Z,0.0,64.8,52.1,967.1,0,0,0,0.218,0
CAT-EQ-1001,2026-08-20T11:47:16Z,0.0,62.8,52.3,967.1,0,0,0,0.429,0
CAT-EQ-1001,2026-08-20T12:47:16Z,0.0,62.2,52.5,967.1,0,0,0,0.135,0
CAT-EQ-1001,2026-08-20T13:47:16Z,0.0,60.4,52.7,967.1,0,0,0,0.311,0
CAT-EQ-1001,2026-08-20T14:47:16Z,0.0,58.7,52.9,967.1,0,0,0,0.316,0
CAT-EQ-1001,2026-08-20T15:47:16Z,0.0,57.5,53.1,967.1,0,0,0,0.435,0
CAT-EQ-1001,2026-08-20T16:47:16Z,0.0,56.4,53.3,967.1,0,0,0,0.214,0
CAT-EQ-1001,2026-08-20T17:47:16Z,0.0,55.3,53.5,967.1,0,0,0,0.25,0
CAT-EQ-1001,2026-08-20T18:47:16Z,0.0,53.1,53.7,967.1,0,0,0,0.357,0
CAT-EQ-1001,2026-08-20T19:47:16Z,0.0,52.3,53.9,967.1,0,0,0,0.4,0
CAT-EQ-1001,2026-08-20T20:47:16Z,17.6,51.3,53.9,967.9,0,0,0,0.406,0
